epsilon,delta,batch_size,max_grad_norm,cifar_label,victim_accuracy,attack_accuracy
1,1e-05,512,0.1,9,40.33,50.15
1,1e-05,512,10,0,22.41,49.40711462
1,1e-05,512,10,1,22.41,50.1002004
1,1e-05,512,10,2,22.41,50.42864347
1,1e-05,512,10,3,22.41,50.25125628
1,1e-05,512,10,4,22.41,50.12531328
1,1e-05,512,10,5,22.41,50.47955578
1,1e-05,512,10,6,22.41,49.28536225
1,1e-05,512,10,7,22.41,49.45598417
1,1e-05,512,10,8,22.41,50.50505051
1,1e-05,512,10,9,22.41,50
1,1e-05,512,100,0,10.71,49.40711462
1,1e-05,512,100,1,10.71,50.1002004
1,1e-05,512,100,2,10.71,50.42864347
1,1e-05,512,100,3,10.71,50.25125628
1,1e-05,512,100,4,10.71,50.12531328
1,1e-05,512,100,5,10.71,50.47955578
1,1e-05,512,100,6,10.71,49.28536225
1,1e-05,512,100,7,10.71,49.45598417
1,1e-05,512,100,8,10.71,50.50505051
1,1e-05,512,100,9,10.71,50
10,1e-05,32,0.1,0,47.14,51.33399209
10,1e-05,32,0.1,1,47.14,53.95791583
10,1e-05,32,0.1,2,47.14,51.03378719
10,1e-05,32,0.1,3,47.14,51.85929648
10,1e-05,32,0.1,4,47.14,51.87969925
10,1e-05,32,0.1,5,47.14,51.74154467
10,1e-05,32,0.1,6,47.14,52.0946279
10,1e-05,32,0.1,7,47.14,52.02769535
10,1e-05,32,0.1,8,47.14,52.12121212
10,1e-05,32,0.1,9,47.14,52.5
10,1e-05,32,10,0,33.77,48.51778656
10,1e-05,32,10,1,33.77,51.60320641
10,1e-05,32,10,2,33.77,49.72264246
10,1e-05,32,10,3,33.77,50.25125628
10,1e-05,32,10,4,33.77,50.02506266
10,1e-05,32,10,5,33.77,50.98435134
10,1e-05,32,10,6,33.77,49.0882208
10,1e-05,32,10,7,33.77,49.55489614
10,1e-05,32,10,8,33.77,50.85858586
10,1e-05,32,10,9,33.77,50.05
10,1e-05,32,100,0,15.74,49.40711462
10,1e-05,32,100,1,15.74,50.1002004
10,1e-05,32,100,2,15.74,50.42864347
10,1e-05,32,100,3,15.74,50.25125628
10,1e-05,32,100,4,15.74,50.07518797
10,1e-05,32,100,5,15.74,50.53003534
10,1e-05,32,100,6,15.74,49.28536225
10,1e-05,32,100,7,15.74,49.35707221
10,1e-05,32,100,8,15.74,50.50505051
10,1e-05,32,100,9,15.74,50
10,1e-05,128,0.1,0,48.34,50.39525692
10,1e-05,128,0.1,1,48.34,53.10621242
10,1e-05,128,0.1,2,48.34,51.53807363
10,1e-05,128,0.1,3,48.34,51.30653266
10,1e-05,128,0.1,4,48.34,52.48120301
10,1e-05,128,0.1,5,48.34,52.09490156
10,1e-05,128,0.1,6,48.34,50.5174963
10,1e-05,128,0.1,7,48.34,51.82987141
10,1e-05,128,0.1,8,48.34,52.42424242
10,1e-05,128,0.1,9,48.34,51.5
10,1e-05,128,10,0,37.48,50.14822134
10,1e-05,128,10,1,37.48,50.4008016
10,1e-05,128,10,2,37.48,50.63035804
10,1e-05,128,10,3,37.48,50.30150754
10,1e-05,128,10,4,37.48,50.1754386
10,1e-05,128,10,5,37.48,50.47955578
10,1e-05,128,10,6,37.48,49.28536225
10,1e-05,128,10,7,37.48,48.96142433
10,1e-05,128,10,8,37.48,50.75757576
10,1e-05,128,10,9,37.48,50.15
10,1e-05,128,100,0,19.05,49.40711462
10,1e-05,128,100,1,19.05,50.1002004
10,1e-05,128,100,2,19.05,50.42864347
10,1e-05,128,100,3,19.05,50.25125628
10,1e-05,128,100,4,19.05,50.12531328
10,1e-05,128,100,5,19.05,50.47955578
10,1e-05,128,100,6,19.05,49.28536225
10,1e-05,128,100,7,19.05,49.45598417
10,1e-05,128,100,8,19.05,50.50505051
10,1e-05,128,100,9,19.05,50
10,1e-05,512,0.1,0,47.4,50.44466403
10,1e-05,512,0.1,1,47.4,52.25450902
10,1e-05,512,0.1,2,47.4,50.88250126
10,1e-05,512,0.1,3,47.4,50.20100503
10,1e-05,512,0.1,4,47.4,51.27819549
10,1e-05,512,0.1,5,47.4,50.37859667
10,1e-05,512,0.1,6,47.4,51.10892065
10,1e-05,512,0.1,7,47.4,51.63204748
10,1e-05,512,0.1,8,47.4,51.46464646
10,1e-05,512,0.1,9,47.4,50.7
10,1e-05,512,10,0,36.69,49.45652174
10,1e-05,512,10,1,36.69,50.0501002
10,1e-05,512,10,2,36.69,50.37821483
10,1e-05,512,10,3,36.69,50.20100503
10,1e-05,512,10,4,36.69,50.12531328
10,1e-05,512,10,5,36.69,50.681474
10,1e-05,512,10,6,36.69,49.28536225
10,1e-05,512,10,7,36.69,49.30761622
10,1e-05,512,10,8,36.69,50.50505051
10,1e-05,512,10,9,36.69,50.15
10,1e-05,512,100,0,20.47,49.40711462
10,1e-05,512,100,1,20.47,50.1002004
10,1e-05,512,100,2,20.47,50.42864347
10,1e-05,512,100,3,20.47,50.25125628
10,1e-05,512,100,4,20.47,50.12531328
10,1e-05,512,100,5,20.47,50.47955578
10,1e-05,512,100,6,20.47,49.28536225
10,1e-05,512,100,7,20.47,49.45598417
10,1e-05,512,100,8,20.47,50.50505051
10,1e-05,512,100,9,20.47,50
100,1e-05,32,0.1,0,51.39,51.63043478
100,1e-05,32,0.1,1,51.39,54.40881764
100,1e-05,32,0.1,2,51.39,51.94150277
100,1e-05,32,0.1,3,51.39,52.71356784
100,1e-05,32,0.1,4,51.39,53.68421053
100,1e-05,32,0.1,5,51.39,52.8520949
100,1e-05,32,0.1,6,51.39,51.10892065
100,1e-05,32,0.1,7,51.39,53.01681503
100,1e-05,32,0.1,8,51.39,53.08080808
100,1e-05,32,0.1,9,51.39,53.85
100,1e-05,32,10,0,40.54,49.60474308
100,1e-05,32,10,1,40.54,50.75150301
100,1e-05,32,10,2,40.54,50.17650025
100,1e-05,32,10,3,40.54,50.55276382
100,1e-05,32,10,4,40.54,50.12531328
100,1e-05,32,10,5,40.54,50.07571933
100,1e-05,32,10,6,40.54,49.87678659
100,1e-05,32,10,7,40.54,48.61523244
100,1e-05,32,10,8,40.54,51.26262626
100,1e-05,32,10,9,40.54,50.6
100,1e-05,32,100,0,18.37,49.40711462
100,1e-05,32,100,1,18.37,50.1002004
100,1e-05,32,100,2,18.37,50.37821483
100,1e-05,32,100,3,18.37,50.25125628
100,1e-05,32,100,4,18.37,50.12531328
100,1e-05,32,100,5,18.37,50.47955578
100,1e-05,32,100,6,18.37,49.28536225
100,1e-05,32,100,7,18.37,49.45598417
100,1e-05,32,100,8,18.37,50.4040404
100,1e-05,32,100,9,18.37,49.95
100,1e-05,128,0.1,0,52.95,51.87747036
100,1e-05,128,0.1,1,52.95,54.10821643
100,1e-05,128,0.1,2,52.95,52.49621785
100,1e-05,128,0.1,3,52.95,53.26633166
100,1e-05,128,0.1,4,52.95,53.93483709
100,1e-05,128,0.1,5,52.95,52.49873801
100,1e-05,128,0.1,6,52.95,51.700345
100,1e-05,128,0.1,7,52.95,54.25321464
100,1e-05,128,0.1,8,52.95,53.78787879
100,1e-05,128,0.1,9,52.95,53
100,1e-05,128,10,0,43.11,50.93873518
100,1e-05,128,10,1,43.11,50.75150301
100,1e-05,128,10,2,43.11,50.98335855
100,1e-05,128,10,3,43.11,50.65326633
100,1e-05,128,10,4,43.11,50.32581454
100,1e-05,128,10,5,43.11,50.83291267
100,1e-05,128,10,6,43.11,49.63035978
100,1e-05,128,10,7,43.11,50.84075173
100,1e-05,128,10,8,43.11,51.71717172
100,1e-05,128,10,9,43.11,50.7
100,1e-05,128,100,0,24.85,49.40711462
100,1e-05,128,100,1,24.85,50.1002004
100,1e-05,128,100,2,24.85,50.42864347
100,1e-05,128,100,3,24.85,50.25125628
100,1e-05,128,100,4,24.85,50.12531328
100,1e-05,128,100,5,24.85,50.47955578
100,1e-05,128,100,6,24.85,49.28536225
100,1e-05,128,100,7,24.85,49.45598417
100,1e-05,128,100,8,24.85,50.50505051
100,1e-05,128,100,9,24.85,50
100,1e-05,512,0.1,0,52.24,51.43280632
100,1e-05,512,0.1,1,52.24,53.60721443
100,1e-05,512,0.1,2,52.24,52.64750378
100,1e-05,512,0.1,3,52.24,51.6080402
100,1e-05,512,0.1,4,52.24,51.67919799
100,1e-05,512,0.1,5,52.24,52.49873801
100,1e-05,512,0.1,6,52.24,51.99605717
100,1e-05,512,0.1,7,52.24,53.41246291
100,1e-05,512,0.1,8,52.24,53.73737374
100,1e-05,512,0.1,9,52.24,53.65
100,1e-05,512,10,0,41.95,49.45652174
100,1e-05,512,10,1,41.95,50.3507014
100,1e-05,512,10,2,41.95,50.2269289
100,1e-05,512,10,3,41.95,50.40201005
100,1e-05,512,10,4,41.95,50.07518797
100,1e-05,512,10,5,41.95,51.13579001
100,1e-05,512,10,6,41.95,49.13750616
100,1e-05,512,10,7,41.95,51.48367953
100,1e-05,512,10,8,41.95,50.3030303
100,1e-05,512,10,9,41.95,49.7
100,1e-05,512,100,0,25.49,49.40711462
100,1e-05,512,100,1,25.49,50.1002004
100,1e-05,512,100,2,25.49,50.42864347
100,1e-05,512,100,3,25.49,50.25125628
100,1e-05,512,100,4,25.49,50.12531328
100,1e-05,512,100,5,25.49,50.47955578
100,1e-05,512,100,6,25.49,49.28536225
100,1e-05,512,100,7,25.49,49.45598417
100,1e-05,512,100,8,25.49,50.50505051
100,1e-05,512,100,9,25.49,50
174,1e-05,32,0.1,0,51.56,52.42094862
174,1e-05,32,0.1,1,51.56,54.60921844
174,1e-05,32,0.1,2,51.56,52.79878971
174,1e-05,32,0.1,3,51.56,53.06532663
174,1e-05,32,0.1,4,51.56,53.48370927
174,1e-05,32,0.1,5,51.56,53.05401312
174,1e-05,32,0.1,6,51.56,52.43962543
174,1e-05,32,0.1,7,51.56,53.51137488
174,1e-05,32,0.1,8,51.56,53.68686869
174,1e-05,32,0.1,9,51.56,52.7
174,1e-05,32,10,0,40.95,50.44466403
174,1e-05,32,10,1,40.95,52.05410822
174,1e-05,32,10,2,40.95,50.37821483
174,1e-05,32,10,3,40.95,50.60301508
174,1e-05,32,10,4,40.95,50.12531328
174,1e-05,32,10,5,40.95,50.32811711
174,1e-05,32,10,6,40.95,48.98965007
174,1e-05,32,10,7,40.95,51.08803165
174,1e-05,32,10,8,40.95,50.05050505
174,1e-05,32,10,9,40.95,50.15
174,1e-05,32,100,0,21.46,49.35770751
174,1e-05,32,100,1,21.46,50.0501002
174,1e-05,32,100,2,21.46,50.42864347
174,1e-05,32,100,3,21.46,50.25125628
174,1e-05,32,100,4,21.46,50.07518797
174,1e-05,32,100,5,21.46,50.47955578
174,1e-05,32,100,6,21.46,49.38393297
174,1e-05,32,100,7,21.46,49.35707221
174,1e-05,32,100,8,21.46,50.45454545
174,1e-05,32,100,9,21.46,50.1
174,1e-05,128,0.1,0,52.41,52.27272727
174,1e-05,128,0.1,1,52.41,56.01202405
174,1e-05,128,0.1,2,52.41,52.899647
174,1e-05,128,0.1,3,52.41,53.26633166
174,1e-05,128,0.1,4,52.41,52.88220551
174,1e-05,128,0.1,5,52.41,53.60928824
174,1e-05,128,0.1,6,52.41,52.88319369
174,1e-05,128,0.1,7,52.41,53.65974283
174,1e-05,128,0.1,8,52.41,55.05050505
174,1e-05,128,0.1,9,52.41,54.75
174,1e-05,128,10,0,43.02,49.90118577
174,1e-05,128,10,1,43.02,50.1002004
174,1e-05,128,10,2,43.02,50.32778618
174,1e-05,128,10,3,43.02,50.95477387
174,1e-05,128,10,4,43.02,50.47619048
174,1e-05,128,10,5,43.02,49.87380111
174,1e-05,128,10,6,43.02,49.23607689
174,1e-05,128,10,7,43.02,51.03857567
174,1e-05,128,10,8,43.02,51.36363636
174,1e-05,128,10,9,43.02,50.45
174,1e-05,128,100,0,25.73,49.40711462
174,1e-05,128,100,1,25.73,50.1002004
174,1e-05,128,100,2,25.73,50.42864347
174,1e-05,128,100,3,25.73,50.25125628
174,1e-05,128,100,4,25.73,50.12531328
174,1e-05,128,100,5,25.73,50.47955578
174,1e-05,128,100,6,25.73,49.28536225
174,1e-05,128,100,7,25.73,49.45598417
174,1e-05,128,100,8,25.73,50.50505051
174,1e-05,128,100,9,25.73,50
174,1e-05,512,0.1,0,51.17,51.23517787
174,1e-05,512,0.1,1,51.17,54.55911824
174,1e-05,512,0.1,2,51.17,52.44578921
174,1e-05,512,0.1,3,51.17,51.95979899
174,1e-05,512,0.1,4,51.17,53.63408521
174,1e-05,512,0.1,5,51.17,53.40737002
174,1e-05,512,0.1,6,51.17,51.74963036
174,1e-05,512,0.1,7,51.17,52.67062315
174,1e-05,512,0.1,8,51.17,53.88888889
174,1e-05,512,0.1,9,51.17,52.5
174,1e-05,512,10,0,43.17,49.85177866
174,1e-05,512,10,1,43.17,51.20240481
174,1e-05,512,10,2,43.17,50.12607161
174,1e-05,512,10,3,43.17,50.55276382
174,1e-05,512,10,4,43.17,50.87719298
174,1e-05,512,10,5,43.17,50.47955578
174,1e-05,512,10,6,43.17,50.32035485
174,1e-05,512,10,7,43.17,50.64292779
174,1e-05,512,10,8,43.17,50.70707071
174,1e-05,512,10,9,43.17,50.85
174,1e-05,512,100,0,23.17,49.40711462
174,1e-05,512,100,1,23.17,50.1002004
174,1e-05,512,100,2,23.17,50.42864347
174,1e-05,512,100,3,23.17,50.25125628
174,1e-05,512,100,4,23.17,50.12531328
174,1e-05,512,100,5,23.17,50.47955578
174,1e-05,512,100,6,23.17,49.28536225
174,1e-05,512,100,7,23.17,49.45598417
174,1e-05,512,100,8,23.17,50.50505051
174,1e-05,512,100,9,23.17,50